gbif_id,name_latin,name_nb,basestreng,basestreng_codes,basestreng_layers,v23_minor_types,n_minor_types,v30_basestreng,alignment_status,notes
5283402,Abietinella abietina,granmose,v*;s*[KA∙h|g],"[""v*"", ""s*""]","[""v*"", ""s*""]",T4-12,1,,pending,
5283402,Abietinella abietina,granmose,"v;s*[KA·h|g],s*[UF∙c|b]","[""v"", ""s*"", ""s*""]","[""v"", ""s*"", ""s*""]",T4-8,1,,pending,
5283402,Abietinella abietina,granmose,v;s*[KA∙h|g],"[""v"", ""s*""]","[""v"", ""s*""]",T4-16,1,,pending,
3189846,Acer platanoides,spisslønn,v,"[""v""]","[""v""]",T4-4,1,,pending,
2927116,Acinos arvensis,bakkemynte,s*[KA∙h|g],"[""s*""]","[""s*""]","T4-12,T4-16",2,,pending,
6374443,Aconitum septentrionale,tyrihjelm,m;v;s+[KA∙f|e],"[""m"", ""v"", ""s+""]","[""m"", ""v"", ""s+""]",T4-18,1,,pending,
6374443,Aconitum septentrionale,tyrihjelm,v,"[""v""]","[""v""]",T4-19,1,,pending,
5371473,Actaea spicata,trollbær,v;s-[KA∙h|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-4,1,,pending,
2706465,Agrostis canina,hundekvein,v,"[""v""]","[""v""]",T4-20,1,,pending,
3027437,Alchemilla,marikåper,v;s+[KA∙f|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-18,1,,pending,
2857601,Allium ursinum,ramsløk,s*[KA∙f|e],"[""s*""]","[""s*""]",T4-3,1,,pending,
2857601,Allium ursinum,ramsløk,s-[KA∙h|g],"[""s-""]","[""s-""]",T4-4,1,,pending,
9148577,Alnus incana,gråor,v,"[""v""]","[""v""]","T4-17,T4-19",2,,pending,
9148577,Alnus incana,gråor,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-18,1,,pending,
3033263,Anemone nemorosa,hvitveis,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]","T4-3,T4-4",2,,pending,
3033263,Anemone nemorosa,hvitveis,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-17,1,,pending,
3033263,Anemone nemorosa,hvitveis,v,"[""v""]","[""v""]","T4-1,T4-5,T4-7,T4-19,T4-20",5,,pending,
3033263,Anemone nemorosa,hvitveis,v*,"[""v*""]","[""v*""]","T4-8,T4-18",2,,pending,
3033263,Anemone nemorosa,hvitveis,v;s+[UF·d|e],"[""v"", ""s+""]","[""v"", ""s+""]",T4-6,1,,pending,
3033263,Anemone nemorosa,hvitveis,v;s-[KA∙d|c],"[""v"", ""s-""]","[""v"", ""s-""]",T4-2,1,,pending,
5371818,Angelica sylvestris,sløke,s-[KA∙f|e],"[""s-""]","[""s-""]",T4-18,1,,pending,
5385604,Antennaria dioica,kattefot,v,"[""v""]","[""v""]","T4-14,T4-16",2,,pending,
5385604,Antennaria dioica,kattefot,v;s+[UF·e|d],"[""v"", ""s+""]","[""v"", ""s+""]","T4-10,T4-11,T4-12",3,,pending,
5385604,Antennaria dioica,kattefot,v;s-[KA∙f|e],"[""v"", ""s-""]","[""v"", ""s-""]",T4-15,1,,pending,
3052436,Arabidopsis thaliana,vårskrinneblom,s*[KA∙g|f],"[""s*""]","[""s*""]","T4-15,T4-16",2,,pending,
2882580,Arctostaphylos uva-ursi,melbær,v*;s+[UF·g|f],"[""v*"", ""s+""]","[""v*"", ""s+""]",T4-14,1,,pending,
2882580,Arctostaphylos uva-ursi,melbær,v;s*[UF∙g|f],"[""v"", ""s*""]","[""v"", ""s*""]",T4-16,1,,pending,
2882580,Arctostaphylos uva-ursi,melbær,v;s+[UF·g|f],"[""v"", ""s+""]","[""v"", ""s+""]","T4-13,T4-15",2,,pending,
3121461,Artemisia campestris,markmalurt,"s*[KA∙f|e],s*[UF∙g|f]","[""s*"", ""s*""]","[""s*"", ""s*""]","T4-15,T4-16",2,,pending,
5275045,Athyrium distentifolium,fjellburkne,m;v[NB],"[""m"", ""v""]","[""m"", ""v""]",T4-17,1,,pending,
5275044,Athyrium filix-femina,skogburkne,m*;v*,"[""m*"", ""v*""]","[""m*"", ""v*""]",T4-17,1,,pending,
5275044,Athyrium filix-femina,skogburkne,m;v*,"[""m"", ""v*""]","[""m"", ""v*""]",T4-18,1,,pending,
4149465,Avenella flexuosa,smyle,s*[UF·f|g],"[""s*""]","[""s*""]","T4-9,T4-10,T4-11,T4-12",4,,pending,
4149465,Avenella flexuosa,smyle,v,"[""v""]","[""v""]","T4-4,T4-8,T4-18",3,,pending,
4149465,Avenella flexuosa,smyle,v*,"[""v*""]","[""v*""]","T4-1,T4-2,T4-3,T4-5,T4-6,T4-7,T4-17",7,,pending,
2689429,Barbilophozia lycopodioides,gåsefotskjeggmose,"m[O3-OC,SB-NB]","[""m""]","[""m""]",T4-1,1,,pending,
2689429,Barbilophozia lycopodioides,gåsefotskjeggmose,v,"[""v""]","[""v""]","T4-3,T4-4,T4-9,T4-17",4,,pending,
2689429,Barbilophozia lycopodioides,gåsefotskjeggmose,"v*[O3-O1,SB-NB]","[""v*""]","[""v*""]","T4-5,T4-6",2,,pending,
2689429,Barbilophozia lycopodioides,gåsefotskjeggmose,"v;m[O3-OC,SB-NB]","[""v"", ""m""]","[""v"", ""m""]",T4-2,1,,pending,
3033894,Berberis vulgaris,berberis,s-[KA·h|g],"[""s-""]","[""s-""]",T4-8,1,,pending,
3033894,Berberis vulgaris,berberis,v;s-[KA·h|g],"[""v"", ""s-""]","[""v"", ""s-""]",T4-12,1,,pending,
2875008,Betula,bjørkearter,v,"[""v""]","[""v""]","T4-7,T4-11",2,,pending,
5331916,Betula pendula,hengebjørk,v,"[""v""]","[""v""]",T4-8,1,,pending,
9118014,Betula pubescens,bjørk,m,"[""m""]","[""m""]","T4-9,T4-10,T4-18",3,,pending,
9118014,Betula pubescens,bjørk,"m*[NB],v","[""m*"", ""v""]","[""m*"", ""v""]","T4-13,T4-14",2,,pending,
9118014,Betula pubescens,bjørk,m;v,"[""m"", ""v""]","[""m"", ""v""]","T4-1,T4-2,T4-3,T4-5,T4-6,T4-17",6,,pending,
2651523,Blechnum spicant,bjørnekam,v[O3-O2],"[""v""]","[""v""]","T4-1,T4-17",2,,pending,
