scientific_name_id,name_latin,name_nb,matrix_coordinate,axis_ka,axis_uf,axis_ki,constancy_m7,constancy_label,v30_lm_ka_trinn,v30_lm_uf_trinn,v30_lm_vm_trinn,alignment_status,notes
104789,Abietinella abietina,granmose,KA.g/UF.f/KI.0a,g,f,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.g/UF.g/KI.0a,g,g,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.h/UF.d/KI.0a,h,d,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.h/UF.e/KI.0a,h,e,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
104789,Abietinella abietina,granmose,KA.h/UF.f/KI.0a,h,f,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
104789,Abietinella abietina,granmose,KA.h/UF.g/KI.0a,h,g,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
104789,Abietinella abietina,granmose,KA.h/UF.h/KI.0a,h,h,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.c/KI.0a,i,c,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.d/KI.0a,i,d,0a,1,"< 1/32 (0,03125)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.e/KI.0a,i,e,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.f/KI.0a,i,f,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.g/KI.0a,i,g,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
104789,Abietinella abietina,granmose,KA.i/UF.h/KI.0a,i,h,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.d/UF.a/KI.0a,d,a,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.d/UF.b/KI.0a,d,b,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.e/UF.a/KI.0a,e,a,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.e/UF.b/KI.0a,e,b,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.e/UF.c/KI.0a,e,c,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.e/UF.d/KI.0a,e,d,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.a/KI.0a,f,a,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.a/KI.bc,f,a,bc,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.b/KI.0a,f,b,0a,4,"3/8 – 4/5 (–0,8)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.b/KI.bc,f,b,bc,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.c/KI.0a,f,c,0a,2,"1/32 – 1/8 (–0,125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.d/KI.0a,f,d,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.e/KI.0a,f,e,0a,1,"< 1/32 (0,03125)",,,,pending,
103559,Acer platanoides,spisslønn,KA.f/UF.f/KI.0a,f,f,0a,1,"< 1/32 (0,03125)",,,,pending,
