Co,Major-type group and major type,LECs,#MiT
M1,Euphotic marine rock,(N) VF4[0ab|cd|ef|gh] DL3[a|bc|d] SA3[a|bc|def] HF[0ab|+] S1[a|b] IF[0ab|¤] VR RU ,29
M2,Aphotic marine rock,(N) DM5[0|a|b|cd|ef] VF[a|bc] HF[0ab|+] BK[0|a] SA S1 RU DD,20
M3,Littoral rock,(N) VF4[0ab|cd|efg|h] TV3[ab|cde|fgh] SA3[a|bc|def] HF[0ab|+] IF[0ab|¤] S1 VR RU,19
M4,Euphotic marine sediment,"(N) S3[E,F,S] DL[abc|d] SA[abc|de] TV[0|ab] IO[0ab|¤] KA[efg|hi] SE[oab|¤] ",44
M5,Aphotic marine sediment,"(N) S3[E,F,S] DM5[0|a|b|cd|ef] IO[0ab|¤] VF DD",38
M6,Coral reef seabed,(NS) KY[0|a] LK DM,2
M7,Seagrass bed,(NS) SA[abc|def] TV[0|ab] S3,4
M8,Tidal swamp,(NS) SA IO TV ,1
M9,Tidal rockpool seabed,(SM∙g+) SM3[gh|i|¤] TV3[cdefgh|ij|k] SE[0a|b],9
M10,Marine cave and overhang,(GS∙a+) DL3[0|abcd|e+] GS[ab|cd¤] ,5
M11,Marine cold seep,(KI∙e+) DM3[0|a|bcdef] KI[e|¤] KT[d|e] ,7
M12,Hydrothermal vent,(KI∙e+ JV∙a+) JV3[ab|cd|e¤] DM3[0|a|bcdef],7
M13,Anoxic marine sediment,(OM∙b+) OM[b|¤] DL[abcd|e¤],4
M14,Strongly altered or artificial hard marine substrate,(SX∙a) DL3[0|abcd|e+] VF SA,3
M15,Strongly altered or artificial marine sediment,"(SX∙b) S3[E,F] HS* DL SA",4
H,Marine waterbody systems,,
H1,Oceanic waterbody,(N) DM4[0|a|bcd|ef] KY[0|a] JV,5
H2,"Circulating fjord, estuary, lagoon and rock pool waterbody",(SM∙a+) SM6[a|bc|def|gh|i|¤] SA[abc|def] ,8
H3,Anoxic marine waterbody,(OM∙¤) 0,1
