_id|lec_id|value|order|relative_order|parent_id
AS.0|AS|0|0|0|
AS.a|AS|a|1|1|
BK.0|BK|0|0|0|
BK.a|BK|a|1|1|
BK.b|BK|b|2|2|
BK.c|BK|c|3|3|
BK.d|BK|d|4|4|
DD.0|DD|0|0|0|
DD.a|DD|a|1|1|
DL.0|DL|0|0|0|
DL.a|DL|a|1|1|
DL.b|DL|b|3|3|
DL.c|DL|c|4|4|
DL.d|DL|d|5|5|
DL.e|DL|e|6|6|
DL.+|DL|+|6|6|
DM.0|DM|0|0|0|
DM.a|DM|a|1|1|
DM.b|DM|b|3|3|
DM.cd|DM|cd||4|
DM.ef|DM|ef||5|
DM.c|DM|c|4|0|DM.cd
DM.d|DM|d|5|1|DM.cd
DM.e|DM|e|6|0|DM.ef
DM.f|DM|f|7|1|DM.ef
ER.0|ER|0|0|0|
ER.a|ER|a|1|1|
ER.b|ER|b|2|2|
ER.¤|ER|¤|3|3|
FK.0|FK|0|0|0|
FK.a|FK|a|1|1|
FK.b|FK|b|2|2|
FK.c|FK|c|3|3|
FK.d|FK|d|4|4|
FK.e|FK|e|5|5|
FR.0|FR|0|0|0|
FR.a|FR|a|1|1|
GS.0|GS|0|0|0|
GS.a|GS|a|1|1|
GS.b|GS|b|2|2|
GS.cd|GS|cd||3|
GS.¤|GS|¤|5|4|
GS.c|GS|c|3|0|GS.cd
GS.d|GS|d|4|2|GS.cd
HF.0|HF|0|0|0|
HF.a|HF|a|1|1|
HF.b|HF|b|2|2|
HF.+|HF|+|3|3|
HI.0|HI|0|0|0|
HI.a|HI|a|1|1|
HI.b|HI|b|2|2|
HI.cd|HI|cd||3|
HI.e|HI|e|5|4|
HI.fg|HI|fg||5|
HI.hi|HI|hi||6|
HI.j|HI|j|9|6|
HI.c|HI|c|3|0|HI.cd
HI.d|HI|d|4|1|HI.cd
HI.f|HI|f|6|0|HI.fg
HI.g|HI|g|7|1|HI.fg
HI.h|HI|h|8|0|HI.hi
HI.i|HI|i|9|1|HI.hi
HR.0|HR|0|0|0|
HR.a|HR|a|1|1|
HU.0|HU|0|0|0|
HU.a|HU|a|1|1|
HU.b|HU|b|2|2|
HU.c|HU|c|3|3|
HU.d|HU|d|4|4|
IF.0|IF|0|0|0|
IF.a|IF|a|1|1|
IF.b|IF|b|2|2|
IF.¤|IF|¤|3|3|
IO.0|IO|0|0|0|
IO.a|IO|a|1|1|
IO.b|IO|b|2|2|
