elementarySegment_id|language_id|key|value
AS.0|en|<class>|not the salt enrichment
AS.0|en|<description>|soil without salt enrichment in the upper layers; dominant water flow downwards (or soil that is too coarse and sand-dominated for the capillary forces to be able to pull salts up to the surface)
AS.0|en|pH|< 8,5
AS.0|nb|<class>|ikke saltanriket
AS.0|nb|<description>|jordsmonn uten saltanriking i øvre sjikt; dominerende vannstrøm nedadgående (eller jord som er for grov og sanddominert til at kapillærkreftene klarer å trekke salter opp mot overflata)
AS.0|nb|pH|< 8,5
AS.a|en|<class>|salt enrichment
AS.a|en|<description>|soil with salt enrichment in the upper layer as a result of an upward dominant water flow.
AS.a|en|pH|8.5–10.5
AS.a|nb|<class>|saltanriket
AS.a|nb|<description>|jordsmonn med saltanriking i øvre sjikt som følge av en oppadgående dominerende vannstrøm.
AS.a|nb|pH|8,5–10,5
BK.0|en|<class>|normal
BK.0|en|<description>|rocks that do not fall into any of the classes below
BK.0|nb|<class>|normal
BK.0|nb|<description>|bergarter som ikke faller inn i noen av klassene nedenfor
BK.a|en|<class>|ultramafic
BK.a|en|<description>|ultramafic bedrock (peridotites; dunites, olivine rocks), including new seabed formed by solidification of effluent from hot ocean sources
BK.a|nb|<class>|ultramafisk
BK.a|nb|<description>|ultramafisk berggrunn (peridotitter; dunitter, olivinstein), inkludert ny havbunn dannet ved størkning av utstrømmingsmateriale fra varme havkilder
BK.b|en|<class>|iron-rich
BK.b|en|<description>|acidic bedrock rich in sulphide minerals, typically with a high content of iron
BK.b|nb|<class>|jern-rikt
BK.b|nb|<description>|sur berggrunn rik på kisbergarter (sulfidmineraler), typisk med høyt innhold av jern
BK.c|en|<class>|copper-rich
BK.c|en|<description>|less acidic bedrock rich in sulfide minerals, typically with a high content of copper
BK.c|nb|<class>|kobber-rikt
BK.c|nb|<description>|mindre sur berggrunn rik på kisbergarter (sulfidmineraler), typisk med høyt innhold av kobber
BK.d|en|<class>|lava
BK.d|en|<description>|lava field more or less intact deposits of lava, tephra and slag
BK.d|nb|<class>|lava
BK.d|nb|<description>|lavamark mer eller mindre intakte avsetninger av lava, tefra og slagg
DD.0|en|<class>|lower sublitoral
DD.0|en|<description>|Atlantic water in the lower sublitoral
DD.0|nb|Depth|<700m
DD.0|nb|<class>|nedre sublitoral
DD.0|nb|<description>|atlantisk vann i nedre sublitoral
DD.0|nb|Dybde|<700m
DD.a|en|<class>|bathypelagic
DD.a|en|<description>|Atlantic waters in bathypelagic and bathyal
DD.a|en|Depth|>700m
DD.a|nb|<class>|bathypelagial
DD.a|nb|<description>|atlantisk vann i bathypelagial og bathyal
DD.a|nb|Dybde|>700m
DL.0|en|<class>|the tidal belt
DL.0|en|<description>|in periods exposed to direct light
DL.0|en|The Marine Life Information Network|eulitoral
DL.0|en|Depth|-
DL.0|nb|<class>|tidevannsbeltet
DL.0|nb|<description>|i perioder eksponert for direkte lys
DL.0|nb|The Marine Life Information Network|eulitoral
DL.0|nb|Dybde|-
DL.a|en|<class>|seafront belt
DL.a|en|<description>|around and just below lower astronomical spring targets, light not production limiting
DL.a|en|The Marine Life Information Network|sublitoral fringe
DL.a|en|Depth|0-3m
DL.a|nb|<class>|sjøkant-beltet
DL.a|nb|<description>|omkring og like under nedre astronomiske fjæremål, lys ikke produksjonsbegrensende 
DL.a|nb|The Marine Life Information Network|sublitoral fringe
DL.a|nb|Dybde|0-3m
DL.b|en|<class>|vascular plant and kelp forest belt
DL.b|en|<description>|production of organic matter greater than decomposition (respiration); the light also contains long-wave red rays that are absorbed in relatively shallow water; long-wave light occurs in such large quantities that even vascular plants can live upper infralitoral
DL.b|en|The Marine Life Information Network|upper infralitoral
DL.b|en|Depth|3-8m
DL.b|nb|<class>|karplante- og tareskogsbeltet
DL.b|nb|<description>|produksjon av organisk materiale større enn nedbrytningen (respirasjonen); lyset inneholder også langbølgete røde stråler som absorberes på relativt grunt vann; langbølget lys forekommer i så store mengder at også karplanter kan leve
DL.b|nb|The Marine Life Information Network|upper infralitoral
DL.b|nb|Dybde|3-8m
DL.c|en|<class>|the kelp forest belt
DL.c|en|<description>|production still greater than decomposition, but long-wave radiation is limited; brown and green algae (in freshwater also bogs) can still dominate
DL.c|en|The Marine Life Information Network|lower infralitoral
DL.c|en|Depth|8-13m
DL.c|nb|<class>|tareskogbeltet
DL.c|nb|<description>|produksjon fortsatt større enn nedbrytningen, men langbølget stråling er begrenset; brun- og grønnalger (i ferskvann også moser) kan fortsatt dominere
DL.c|nb|The Marine Life Information Network|lower infralitoral
DL.c|nb|Depth|8-13m
DL.d|en|<class>|the red algae belt
DL.d|en|<description>|production still greater than the decomposition, but the light is dominated by short-wave rays (including green) and the algae vegetation is therefore limited to red algae but leaf-shaped red algae can dominate
DL.d|en|The Marine Life Information Network|upper circalitoral
DL.d|en|Depth|13-30m
DL.d|nb|<class>|rødalgebeltet
DL.d|nb|<description>|produksjon fortsatt større enn nedbrytningen, men lyset er dominert av kortbølgete stråler (bl.a. grønne) og algevegetasjonen begrenser seg derfor til rødalger men bladformete rødalger kan dominere
DL.d|nb|The Marine Life Information Network|upper circalitoral
DL.d|nb|Dybde|13-30m
DL.e|en|<class>|upper aphotic belt
DL.e|en|<description>|production of organic material less than decomposition (respiration), light radiation <0.3–1 (–10)% of the radiation at the water surface; only scattered occurrence of algae
DL.e|en|The Marine Life Information Network|lower circalitoral
DL.e|en|Depth|30-80m
DL.e|nb|<class>|upper aphotic belt
DL.e|nb|<description>|produksjon av organisk materiale mindre enn nedbrytningen (respirasjonen), lysinnstråling < 0.3–1(–10) % av strålingen ved vannoverflata; bare spredt forekomst av alger
DL.e|nb|The Marine Life Information Network|lower circalitoral
DL.e|nb|Dybde|30-80m
DL.+|en|<class>|lower aphotic belts
DL.+|en|<description>|the light attenuation is so strong that plants are missing [‘depth gradient’ continues as DM]
DL.+|en|The Marine Life Information Network|offshore circalitoral
DL.+|en|Depth|>80m
DL.+|nb|<class>|nedre afotiske belter
DL.+|nb|<description>|lyssvekkingen er så sterk at planter mangler [‘dybdegradienten’ fortsetter som DM]
DL.+|nb|The Marine Life Information Network|offshore circalitoral
DL.+|nb|Dybde|>80m
DM.0|en|<class>|upper sublitoral (epipelagial)
DM.0|en|<description>|great environmental variability; euphotic and upper aphotic belt, typically connected to the coast and coastal bodies of water [sublitoral belt; down to approx. 200 m]
DM.0|en|Depth|<200m
DM.0|en|Temperature|variable
DM.0|nb|<class>|øvre sublitoral (epipelagial)
DM.0|nb|<description>|stor miljøvariabilitet; eufotisk og øvre afotisk belte, typisk koblet til kysten og kystvannmasser [sublitoral belte; ned til ca. 200 m]
DM.0|nb|Dybde|<200m
DM.0|nb|Temperatur|variabel
DM.a|en|<class>|Atlantic waters, typically in the lower sublitoral (mesopelagial)
DM.a|en|<description>|fairly high environmental variability; atlantic waters and mesopelagic belt
DM.a|en|Depth|200m-(500m)-700m
DM.a|en|Temperature|2-8
DM.a|nb|<class>|atlantisk vann, typisk i nedre sublitoral (mesopelagial)
DM.a|nb|<description>|nokså stor miljøvariabilitet; atlantiske vannmasser og mesopelagisk belte
DM.a|nb|Dybde|200m-(500m)-700m
DM.a|nb|Temperatur|2-8
DM.b|en|<class>|intermediate water, typically in the upper bathyal (bathypelagial)
DM.b|en|<description>|intermediate bodies of water and the upper part of the bathypelagic belt
DM.b|en|Depth|700m-1000m(-1100m)
DM.b|en|Temperature|0-2
DM.b|nb|<class>|intermediært vann, typisk i øvre bathyal (bathypelagial)
DM.b|nb|<description>|intermediære vannmasser og øvre del av bathypelagisk belte
DM.b|nb|Dybde|700m-1000m(-1100m)
DM.b|nb|Temperatur|0-2
DM.cd|en|<class>|deep sea water, typically in the lower bathyal (bathypelagial)
DM.cd|en|<description>|fairly stable environment; deep-sea bodies of water and bathypelagic belt
DM.cd|en|Depth|1000m-2000m
DM.cd|en|Temperature|<0
DM.cd|nb|<class>|dyphavsvann, typisk i nedre bathyal (bathypelagial)
DM.cd|nb|<description>|nokså stabilt miljø; dyphavs-vannmasser og bathypelagisk belte
DM.cd|nb|Dybde|1000m-2000m
DM.cd|nb|Temperatur|<0
DM.ef|en|<class>|deep-sea water, typically in the abyssal (abysso-pelagial)
DM.ef|en|<description>|stable environment; deep-water bodies and abyssopelagic belt, upper part
DM.ef|en|Depth|>2000m
DM.ef|en|Temperature|<-0.5
DM.ef|nb|<class>|dyphavsvann, typisk i abyssal (abysso-pelagial)
DM.ef|nb|<description>|stabilt miljø; dyphavs-vannmasser og abyssopelagisk belte, øvre del
DM.ef|nb|Dybde|>2000m
DM.ef|nb|Temperatur|<-0.5
ER.0|en|<class>|without erosion
ER.0|en|<description>|apparently good mass balance, ie balance between supply (sedimentation) and removal (erosion) of material
ER.0|nb|<class>|uten erosjonspreg
ER.0|nb|<description>|tilsynelatende god massebalanse, dvs. balanse mellom tilførsel (sedimentasjon) og fjerning (erosjon) av materiale
ER.a|en|<class>|slightly erosive
ER.a|en|<description>|slightly negative mass balance, but with a species composition that bears an observable sign of erosion
ER.a|nb|<class>|litt erosjonspreget
ER.a|nb|<description>|svakt negativ massebalanse, men med artssammensetning som bærer observerbart preg av erosjon
ER.b|en|<class>|clearly erosive
ER.b|en|<description>|clearly negative mass balance; the substrate is supplied with clearly less new material by sedimentation than the amount of material eroded away; the species composition consists primarily of erosion-tolerant species
ER.b|nb|<class>|klart erosjonspreget
ER.b|nb|<description>|klart negativ massebalanse; substratet tilføres klart mindre nytt materiale ved sedimentasjon enn mengden materiale som eroderes vekk; artssammensetningen består først og fremst av erosjonstolerante arter
ER.¤|en|<class>|characterized by disruptive erosion
ER.¤|en|<description>|erosion with such a high intensity (combination of strong disturbance and high disturbance frequency) that the establishment and maintenance of permanent populations of site-associated organisms is prevented
ER.¤|nb|<class>|preget av disruptiv erosjon
ER.¤|nb|<description>|erosjon med så høy intensitet (kombinasjon av sterk forstyrrelsesgrad og høy forstyrrelsesfrekvens) at etablering og opprettholdelse av permanente populasjoner av stedstilknyttete organismer forhindres
FK.0|en|<class>|normally circulating water
FK.0|en|<description>|encompasses the full range of variation within circulating bodies of water; circulating bottom water with normal chemical composition
FK.0|nb|<class>|normalt sirkulerende vann
FK.0|nb|<description>|omfatter hele spekteret av variasjon innenfor sirkulerende vannmasser; sirkulerende bunnvann med normal kjemisk sammensetning
FK.a|en|<class>|old seawater
FK.a|en|<description>|ectogenic meromixis; bottom water containing 'fossil' salt water (from before the water body was separated from the sea)
FK.a|nb|<class>|gammelt havvann
FK.a|nb|<description>|ektogen meromiksis; bunnvann som inneholder med 'fossilt' saltvann (fra før vannforekomsten ble skilt fra havet)
FK.b|en|<class>|saline spring water
FK.b|en|<description>|crenogenic meromixis; bottom water supplied with saline spring water
