_id|parentLec_id|structuringProcess_id|patternOfVariation_id|knowledgeBaseRelations|knowledgeBaseDivision|spatialScale
AS||S|t|3|2|5
BK||S|f|3|2|5
DD||S|g|2|1|9
DL||S|g|4|2|5
DM||S|g|3|2|9
ER||D|ga|3|2|8
FK||S|f|4|1|10
FR||D|f|3|4|10
GS||S|ga|3|1|4
HF||R|g|2|2|1
HI||D|g|4|5|6
HR||D|f|5|5|7
HS||||||
HU||S|g|3|2|10
IF||D|ga|2|1|2
IO||D|mf|2|2|3
JF||D|g|2|4|3
JV||S|ga|3|2|6
KA||S|g|4|5|7
KI||S|g|3|5|1
KO||S|f|4|5|9
KT||S|f|3|2|7
KY||S|t|3|2|10
LA||L|gs|3|2|6
LK||L|f|2|1|5
MB||D|f|4|3|6
MF||S|g|2|3|5
MX||D|f|4|3|7
NG||S|ga|3|2|1
OF||D|g|2|2|2
OM||S|g|3|3|10
OR||S|g|2|2|0
PF||S|f|3|2|7
RU||R|ga|2|3|5
S1|S3|S|mf|2|2|6
S3||S|mf|2|2|6
S3E|S3|S|mf|2|2|6
S3F|S3|S|mf|2|2|6
S3S|S3|S|mf|2|2|6
SA||S|g|4|4|4
SE||D|ga|2|1|6
SF||S|ga|4|3|2
SH||R|f|3|2|8
SM||R|ga|2|1|10
SP||R|t|3|4|6
SS||D|gs|4|2|3
SU||D|ga|2|3|4
SV||S|ga|4|5|4
SX||D|f|3|2|7
SY||D|f|2|2|10
TE||R|g|5|5|-1
TU||S|g|3|2|9
TV||S|g|5|5|0
UE||D|g|3|2|3
UF||D|g|4|5|5
VF||D|ga|3|2|3
VI||R|ga|3|4|3
VM||S|g|4|5|1
VR||D|f|2|2|7
VS||R|G|2|1|3
VT||S|f|3|3|8
