language_id|majorType_id|name|description
en|F1|River and stream waterbody|This major type includes waterbodies of rivers and streams, i.e. running water. In contrast to lake water, running water is inherently dynamic and lacks permanent populations of species without swimming abilities such as planctonic crustaceans.
nb|F1|Elvevannmasser|Elvevannmasser omfatter økosystemer i rennende vann (lotiske systemer), det vil si ferskvannsforekomster med høy vanngjennomstrømningshastighet og kort oppholdstid, biologisk karakterisert ved mangel på en fullstendig næringskjede som inneholder krepsdyrplankton. Elvevannmassenes organismesamfunn karakteriseres først og fremst av innholdet av pelagiske, aktivt svømmende arter (nekton). Som økosystem er elvevannmassene et åpent system som stadig tilføres nytt vann med løste næringsstoffer og levende organismer og dødt organisk materiale som passivt transporteres nedover med strømmen.
en|F2|Circulating lake waterbody|Circulating lake waterbodies include waters of mictic lakes, tarns and ponds, with their pelagic communities. Most Norwegian lakes above a certain minimum size are dimictic, i.e. with full circulation of water masses every spring and autumn.
nb|F2|Sirkulerende innsjøvannmasser|Sirkulerende innsjøvannmasser omfatter økosystemer i stillestående vann (lentiske systemer), det vil si ferskvannsforekomster med lav vanngjennomstrømningshastighet og lang oppholdstid eller mer eller mindre uten vanngjennomstrømning, biologisk karakterisert ved forekomst av en fullstendig næringskjede som inneholder krepsdyrplankton. Sirkulerende innsjøvannmassers organismesamfunn inneholder pelagiske organismer, både aktivt svømmende (nekton) og passivt flytende arter (plankton), samt organismer som lever i og på vannoverflata (neuston). Som økosystem er sirkulerende innsjøvannmasser et delvis lukket system. Vann med løste næringsstoffer og levende organismer og dødt organisk materiale tilføres fra omgivelsene og avgis, dersom innsjøen er forbundet med et større vassdrag gjennom en utløpsbekk, til andre vannforekomster. To ganger i året, under vår- og høstsirkulasjonen, finner det sted en fullstendig omrøring av vann fra ulike dyp, som blant annet fornyer bunnvannets oksygen.
en|F3|Anoxic lake waterbody|Anoxic lake waterbodies comprise the non-circulating, permanently stagnant, oxygen-free waters at the bottom of meromictic lakes (monimolimnion). Meromictic lakes are lakes with a permanent and stable vertical stratification (no seasonal mixing of water between strata under normal conditions). Anoxic waterbodies have characteristic, deviant, chemical composition compared to normal, oxic waters; high concentrations of CO2, CH4, Ca, Fe and/or Mn are typical. Bacteria tend to dominate the species-poor communities.
nb|F3|Ikke-sirkulerende innsjøvannmasser|Ikke-sirkulerende innsjøvannmasser omfatter det permanent stagnerende bunnvannet (monimolimnion) i meromiktiske innsjøer, det vil si innsjøer som har et tungt, kaldt vannlag på bunnen, under sprangsjiktet, oftest på dyp > 10 m, som aldri blander seg med resten av vannet i innsjøen og som derfor er fritt for oksygen. Ikke- sirkulerende vannmasser kjennetegnes av spesielle kjemiske forhold, ofte høye konsentrasjoner av CO2, CH4, Ca, Fe og/eller Mn, en artssammensetning dominert av bakterier og ekstrem artsfattigdom. Innsjøer kan ha permanent stagnerende bunnvann av mange ulike årsaker, og hver enkelt meromiktisk innsjø har derfor unike trekk.
en|F4|Strongly altered or artificial river waterbody|Strongly altered or artificial river waterbodies are characterised by irreversibly altered species composition and ecological function, brought about by human activities such as water regulation, contamination, irreversible eutrophication, chemical treatment against parasites and introduction of exotic species. Thus, the impacts may be physical, chemical or biological.
nb|F4|Sterkt endrete elvevannmasser|Sterkt endrete elvevannmasser omfatter vannmassene i elver som har fått sin artssammensetning og økologiske funksjon sterkt og irreversibelt endret gjennom fysiske inngrep (vassdragsreguleringer), kjemiske inngrep (irreversibel forurensning, eutrofiering, kjemisk behandling mot parasitter etc.) eller biologiske inngrep (utsetting av fiskearter som gjennomgripende har endret den trofiske strukturen og dermed artssammensetningen, etc.).
en|F5|Strongly altered or artificial lake waterbody|Strongly altered or artificial lake waterbodies are characterised by irreversibly altered species composition and ecological function, brought about by human activities similar to those listed for rivers (F4). This major type also includes artificial waterbodies such as water reservoirs and farm ponds.
nb|F5|Sterkt endrete innsjøvannmasser|Sterkt endrete innsjøvannmasser omfatter vannmassene i innsjøer og dammer som har fått sin artssammensetning og økologiske funksjon sterkt og irreversibelt endret gjennom fysiske inngrep (vassdragsreguleringer), kjemiske inngrep (irreversibel forurensning, eutrofiering, kjemisk behandling mot parasitter etc.) eller biologiske inngrep (utsetting av fiskearter som gjennomgripende har endret den trofiske strukturen og dermed artssammensetningen, etc.), samt vannmassene i kunstige vannforekomster (vannmagasiner, gårdsdammer etc.).
en|H1|Oceanic waterbody|Oceanic marine waterbodies are directly connected to the World’s large oceans, without being physically separated from the latter by a threshold. This major type comprises water masses that are connected to, part of, or strongly influenced by, the Earth’s large circulation systems.
nb|H1|Havvannmasser|Havvannmasser omfatter alle marine vannmasser som står i direkte sammenheng med verdenshavene, uten å være fysisk skilt fra disse gjennom en markert terskel (slik fjorder og poller er). Havstrømmer og vertikale sirkulasjonssystemer sørger for regelmessig utveksling av vannmasser. Havvannmassene har en fullstendig næringskjede med planteplankton som viktigste primærprodusenter, med krepsdyrplankton som viktigste plantespisere og en kompleks næringskjede av predatorer. Som økosystem er havvannmassene et åpent system der mange arter gjør store, til dels regelmessige horisontale og/eller vertikale vandringer. Dette begrenser antallet ‘naturtyper’ som kan defineres på grunnlag av artssammensetningen.
en|H2|Circulating fjord, estuary, lagoon and rock pool waterbody|This major type includes waterbodies of fjords, estuaries, lagoons and rock pools, i.e. waters that are physically separated from oceanic marine waterbodies by a threshold and have a circulation system resembling that of lakes.
nb|H2|Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster|Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster omfatter økosystemer som hele tida eller periodisk tilføres havvann og som derfor tilfredsstiller definisjonen av brakkvann eller saltvann (SA∙a+). Graden av fysisk avgrensning fra H1 Havvannmasser varierer fra fjord (lang og smal havinnbukting som er overfordypet innenfor en markert terskel nær munningen) via poll [saltvannforekomst som er fysisk avgrenset fra havet, som regelmessig, men ikke permanent, tilføres havvann, som er skilt fra havet av en terskel ovenfor laveste fjærenivå, og som har permanent utløp til (og innløp fra) havet] til litoralbasseng [vannforekomster på fast fjell i fjærebeltet som er fysisk avgrenset fra havet, som regelmessig, men ikke permanent, tilføres havvann, og som ikke har permanent utløp til (og innløp fra) havet]. Som økosystem er disse vannmassene et delvis lukket system. Tilførsler av ferskvann med løst og partikulært organisk materiale fra land medfører redusert saltholdighet som ofte varierer sterkt gjennom året. I sterkt avsnørte fjordarmer og poller der store elver renner ut, kan vannet deler av året bli svært brakt. Med unntak for dype fjorder, som kan ha bunnvann av atlantisk havvann (som skal typifiseres som H1 Havvannmasser), kjennetegnes fysisk avgrensete saltvannsforekomster av at vannet sirkulerer, enten to ganger i året, vår- og høstsirkulasjon, som i innsjøer, eller (i dypere fjorder) i sommersesongen. Med økende grad av avsnøring fra havet og avtakende størrelse byttes artene som er typisk for havvannmassene gradvis ut og erstattes dels med ferskvannstilpassete arter, dels med arter med stor toleranse overfor variasjon i temperatur og salinitet som man finner i litoralbasseng.
en|H3|Anoxic marine waterbody|Anoxic marine waterbodies comprise the non-circulating, permanently stagnant, oxygen-free waters at the bottom of some fjords, estuaries and lagoons, often characterised by strongly restricted seasonal exchange of water.
nb|H3|Ikke-sirkulerende marine vannmasser i fysisk avgrensete saltvannsforekomster|For at marine vannmasser skal unngå sirkulasjon, må de enten ha så sterkt redusert saltholdighet at vannets tetthetsmaksimum > 0 °C, slik at de får et sirkulasjonssystem lik det vi finner i innsjøer, eller de må befinne seg på bunnen i dype fjorder med så høy terskel at ikke atlantisk vann strømmer inn over terskelen når sterk fralandsvind frakter overflatevannet utover havet. Ikke-sirkulerende marine vannmasser er den marine parallellen til det permanent stagnerende bunnvannet (monimolimnion) i meromiktiske innsjøer. Vann som aldri blander seg med resten av vannet i fjorden eller pollen er fritt for oksygen og kjennetegnes av spesielle kjemiske forhold, ofte høye konsentrasjoner av CO2, CH4, Ca, Fe og/eller Mn, en artssammensetning dominert av bakterier og ekstrem artsfattigdom. Bakterieslekta Beggiatoa danner hvitaktige, karakteristiske bakteriekolonier i overgangen mellom oksygenfrie vannmasser og bunn. Omfanget av variasjon i kjemiske forhold og artssammensetning i ikke-sirkulerende marine vannmasser er dårlig kjent, og det vites heller ikke i hvilken grad hver enkelt forekomst av slike vannmasser har unike trekk.
en|H4|Strongly altered or artificial marine waterbody|Strongly altered or artificial marine waterbodies comprise physically delimited marine water-bodies that are changed by human activity, such as pollution.
