gbifKey,count
2529264,65
2538435,5
2587057,82
2587059,19
2592835,29
2600378,406
2600386,2125
2600423,1161
2600448,14
2600494,35
2600524,79
2600577,77
2600611,5624
2601012,435
2601133,29
2601134,373
2601135,258
2601137,13361
2601143,1317
2601144,2158
2601162,1687
2601168,166
2601174,567
2601176,938
2601180,298
2601181,550
2601231,82
2601309,2624
2601313,88
2601351,1673
2602097,28
2603347,138
2603384,41
2603661,294
2603707,192
2603773,17
2603774,37
2603775,176
2604379,1315
2604700,464
2605065,97
2605262,131
2605272,436
2605275,476
2605297,134
2605301,425
2605316,9
2605422,205
2605428,488
2605703,76
2605872,193
2605894,99
2605955,1801
2605957,36
2606435,76
2606438,132
2606513,85
2606567,91
2606816,2
2606984,9
2607291,402
2607508,24
2607519,43026
2607575,133
2607590,1142
2607596,836
2607629,42
2607643,55
2607644,103
2607648,783
2607695,565
2607708,1932
2607712,1495
2607724,484
2607754,481
2607843,59
2608099,203
2608508,165
2608513,1834
2608913,309
2608920,3189
2608995,443
2609154,65
2609158,25
2609180,4
2609294,493
2609349,254
2609409,154
2609428,38
2609764,7
2609969,23418
2609974,278
2650133,1612
2650163,227
2650165,2569
2650625,7000
2650720,1242
2650818,4768
2650832,5979
2650999,14003
2651113,2960
2651330,5570
2651495,880
2651533,26
2668959,263
2668960,183
2668970,213
2668981,99
2668990,10
2668995,192
2668996,365
2669002,347
2669004,59
2669006,660
2669015,440
2669078,58
2669081,4
2669112,444
2669113,1263
2669138,12
2669139,151
2669156,75
2669169,4
2669170,44
2669200,8
2669208,32
2669215,307
2669224,77
2669235,89
2669241,436
2669251,78
2670176,133
2671266,17
2671271,3027
2671369,745
2672780,82
2672949,11
2673098,1149
2673131,71
2673299,207
2673379,273
2673622,1012
2674275,245
2674289,265
2674312,40
2674333,826
2674871,57
2674872,13
2675239,83
2675426,1
2675427,132
2675434,48
2675446,3194
2675482,20
2675494,554
2675719,2766
2675901,73
2675961,164
2675975,39
2675979,1134
2676061,45
2676069,684
2676091,37
2676100,547
2676330,72
2676491,16
2676860,166
2676867,311
2677613,28
2677622,2876
2677623,863
2677629,1886
2677639,26
2677642,108
2677647,882
2678391,476
2678415,1930
2678545,123
2678588,85
2678712,587
2679339,291
2679696,8362
2679703,27
2679704,65
2679707,3523
2679710,4778
2679711,2260
2679713,300
2679715,3861
2679735,213
2679744,1638
2679761,249
2679866,753
2679898,3613
2679947,1
2679967,159
2680053,113
2680225,253
2681623,106
2681638,268
2681639,75
2681640,66
2681641,127
2681643,17
2681651,368
2681678,220
2681679,13
2681726,93
2681727,288
2681972,7057
2682005,514
2682534,518
2682836,2177
2682930,361
2682935,53
2683049,103
2683058,2675
2683060,266
2683084,2956
2683092,5063
2684709,20231
2687920,64
2687929,9426
2687932,2426
2687937,6416
2687942,3613
2687948,1850
2688197,707
2688369,392
2688393,8192
2688420,782
2688495,332
2688561,3386
2688576,43
2688622,1
2688661,240
2688702,7
2688706,478
2688781,12
2688970,483
2689020,7
2689063,1519
2689205,19
2689210,14
2689212,99
2689217,16
2689218,257
2689329,261
2689429,73
2689446,82
2689507,105
2689592,46
2700680,38
2700726,93
2700736,4307
2700785,35
2700795,160
2700828,3871
2700859,1739
2700934,2220
2701078,175
2701151,134
2701261,3577
2701282,6
2701297,1238
2701311,8331
2701418,1203
2701727,765
2701799,827
2701896,79
2701930,725
2701939,124
2701983,79
2702048,894
2702266,1780
2702384,537
2702717,1077
2702789,3155
2703146,36
2703250,670
2703777,5930
2704160,26
2704178,3783
2704179,7952
2704207,49
2704218,113
2704234,641
2704261,941
2704265,1526
2704300,1136
2704323,12
2704353,619
2704505,4637
2704669,10
2704674,32
2704687,295
2704806,30
2704883,144
2704922,1913
2704930,151
2704940,6
2704951,269
2705290,911
2705308,27400
2705315,456
2705484,2127
2705495,1592
2705701,75
2705966,617
2705975,8570
2706008,36
2706056,901
2706196,3221
2706241,6311
2706368,1807
2706435,1633
2706458,111
2706465,174
2706490,1574
2706518,45
2706649,426
2710309,12
2710560,825
2710592,1549
2710648,54
2710941,1535
2711157,2840
2717493,410
2717570,865
2717910,297
2718117,1325
2718307,3021
2721119,2189
2721897,1473
2722046,1895
2722359,117
2722383,507
2722602,2931
2722760,2718
2722817,224
2722833,1393
2722926,293
2722942,1589
2722950,134
2723099,1111
2723156,521
2723188,769
2723340,247
2723371,1110
2723767,102
2723925,621
2724150,1026
2724253,165
2724284,864
2724361,206
2724517,299
2724554,26
2724584,162
2724609,1235
2724729,637
2724868,63
2724869,72
2725082,852
